longitude;latitude;depth
9.748604;52.343226;0
9.748456;52.343257;0
9.748304;52.343302;0
9.747797;52.343454;0
9.747418;52.34359;0
9.747039;52.343749;0
9.746543;52.343995;0
9.746259;52.344158;0
9.746221;52.34418;0
9.746188;52.344202;0
9.745879;52.344418;0
9.745653;52.344594;0
9.745604;52.344634;0
9.745259;52.344906;0
9.745211;52.344921;0
9.745045;52.344972;0
9.744902;52.344894;0
9.744871;52.344877;0
9.744815;52.344847;0
9.74483;52.344835;0
9.744584;52.344691;0
9.744464;52.344727;0
9.74441;52.344795;0
9.744679;52.344943;0
9.744693;52.344932;0
9.744731;52.344952;0
9.744769;52.344981;0
9.744811;52.345047;0
9.744908;52.3452;0
9.744887;52.345415;0
9.744877;52.34544;0
9.744864;52.345476;0
9.744861;52.34548;0
9.744849;52.345507;0
9.744845;52.345515;0
9.744844;52.345517;0
9.744842;52.345523;0
9.744836;52.345535;0
9.744657;52.345902;0
9.744484;52.346366;0
9.744481;52.346375;0
9.744481;52.346387;0
9.744463;52.347256;0
9.744463;52.347297;0
9.744482;52.347356;0
9.744601;52.347727;0
9.744859;52.348265;0
9.745108;52.348595;0
9.74559;52.349036;0
9.745804;52.349327;0
9.745834;52.349639;0
9.745785;52.349908;0
9.745788;52.34999;0
9.745792;52.350129;0
9.745681;52.350622;0
9.745679;52.350634;0
9.745669;52.350649;0
9.745451;52.35097;0
9.745387;52.351065;0
9.74498;52.351419;0
9.744792;52.351514;0
9.744343;52.351741;0
9.743352;52.35218;0
9.743193;52.35225;0
9.74256;52.352496;0
9.742428;52.352547;0
9.741932;52.352746;0
9.741413;52.352955;0
9.74131;52.352997;0
9.75225;52.34325;0.8
9.75325;52.3435;0.9
9.75225;52.3435;1.2
9.753;52.34375;1.25
9.7515;52.3444;1.35
9.75125;52.34425;1.4
9.75275;52.34425;1.45
9.7525;52.3445;1.55
9.746;52.34525;1.5
9.7485;52.3465;1.8
9.75025;52.3475;1.75
9.746;52.349;1.65
9.7485;52.3495;1.7
9.747;52.352;1.75
9.74625;52.35175;1.9
9.74525;52.3515;1.8
9.74475;52.35425;1.8
9.743;52.354;2
9.74125;52.35375;1.6
9.7405;52.355;1.9
9.742;52.35525;1.95
9.74325;52.35575;1.9
9.74175;52.35775;1.7
9.7405;52.35725;2
9.7395;52.357;2.2
9.73825;52.3585;1.9
9.73925;52.359;2.2
9.7405;52.35925;1.8
9.73925;52.36075;2
9.73775;52.3605;2.3
9.73625;52.36025;2.1
9.73575;52.361;2.1
9.73725;52.3615;2.2
9.73625;52.3615;1.7
9.7385;52.36175;1.8
9.73725;52.362;1.7
9.738;52.3625;1.7
